SuperWEB2(tm)

"General Household Survey 2018"
"Usage of piped or tapwater, Safe to drink, Treatment of drinking water, Water supply interruption, PROVINCES, Population group and Metro Code by Summation Options"
"Counting: Person information, Person Weight"

,,,,,,"Summation Options","Person information","Person Weight",
"Usage of piped or tapwater","Safe to drink","Treatment of drinking water","Water supply interruption","PROVINCES","Population group","Metro Code",
"Yes","Yes","Yes, always","Yes","KwaZulu-Natal","African/Black","KZN-eThekwini",3,5747.923152,
,,,,"North West","African/Black","NW-Non Metro",2,1681.1572249,
,,,,"Total","African/Black","KZN-eThekwini",3,5747.923152,
,,,,,,"NW-Non Metro",2,1681.1572249,
,,,"Not applicable","Eastern Cape","African/Black","EC-Non Metro",6,3149.2491597,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",13,10171.9730409,
,,,,"Limpopo","African/Black","LP-Non Metro",11,8776.1117529,
,,,,"Total","African/Black","EC-Non Metro",6,3149.2491597,
,,,,,,"KZN-Non Metro",13,10171.9730409,
,,,,,,"LP-Non Metro",11,8776.1117529,
,,"Yes, sometimes","Yes","Mpumalanga","African/Black","MP-Non Metro",10,10618.2445039,
,,,,"Total","African/Black","MP-Non Metro",10,10618.2445039,
,,,"Not applicable","Western Cape","Coloured","WC-Non Metro",6,9390.6064086,
,,,,"Eastern Cape","African/Black","EC-Non Metro",17,9207.9543396,
,,,,"Free State","Coloured","FS-Non Metro",3,1707.2470985,
,,,,"KwaZulu-Natal","African/Black","KZN-Non Metro",5,1484.4512186,
,,,,"North West","African/Black","NW-Non Metro",4,4188.6547796,
,,,,"Mpumalanga","African/Black","MP-Non Metro",3,1711.0716851,
,,,,"Limpopo","African/Black","LP-Non Metro",6,5726.4148463,
,,,,"Total","African/Black","EC-Non Metro",17,9207.9543396,
,,,,,,"KZN-Non Metro",5,1484.4512186,
,,,,,,"NW-Non Metro",4,4188.6547796,
,,,,,,"MP-Non Metro",3,1711.0716851,
,,,,,,"LP-Non Metro",6,5726.4148463,
,,,,,"Coloured","WC-Non Metro",6,9390.6064086,
,,,,,,"FS-Non Metro",3,1707.2470985,
,,"No, never","Yes","Eastern Cape","African/Black","EC-Non Metro",13,12347.8380742,
